id,title,intro,req,output
1,Carbon Footprint Estimation System,Modular Python solution to calculate total $\text{CO}_2$ emissions for individuals/households. Helps users understand and improve eco habits.,"Input modules for transport, appliances, dietary habits, waste, and lifestyle choices. Customizable user profiles (e.g., student, family of four). Dynamic weighting based on organizer data.",Output graphs OR a summary table showing emission breakdowns.
2,Energy-Efficient Path Planner,A graph-based route optimization program for eco-routing and smart mobility.,"Input: roads, distances, traffic levels, fuel cost OR EV consumption rates. Weighted graph where edges represent energy usage. Algorithm: Dijkstra, A*, or custom heuristic.",Least-energy path + estimated carbon savings.
3,City Temperature Trend Analyzer,A CSV-based analysis tool for climate logs over a decade. Supports urban climate planning.,Parse large datasets. Detect anomalies like sudden heat-wave spikes. Apply rolling averages OR basic regressions. Optional: simple graph visualizations.,A 10-year warming prediction.
4,Smart Irrigation Simulation Model,"A moisture-aware irrigation optimizer, aligning with smart agriculture.","Inputs: soil moisture, humidity %, rainfall forecast, crop type.","Water required per cycle, Alerts for overwatering, A day-by-day irrigation plan."
5,Air Quality Index (AQI) Predictor,A basic regression Machine Learning (ML) model useful for health and pollution monitoring.,Restrictions: Only $\text{sklearn}$ basics. Small datasets. Summary of contributing factors.,$\text{AQI}$ prediction for the next day.
6,Flood Risk Detection Program,Risk calculation based on rainfall intensity and terrain data. Helps with early warning systems.,Zone-wise risk calculation.,"Colored outputs (Low, Moderate, High, Critical) indicating risk level."
7,Forest Fire Early Alert System,Predicts fire risk from key weather variables. Highly relevant for dry-season alerts.,"Predicts fire risk from temperature, humidity, and wind speed.","Fire index, Risk category, Preventive suggestions."
8,Climate-Aware Smart Home Scheduler,"Shifts tasks (laundry, charging, cooling) to low-energy hours. Useful for smart home automation.",,"Optimized hourly schedule, Energy saved in $\text{kWh}$."
9,Waste Segregation Tracking App,Tracks daily waste categories and predicts monthly trends. Supports zero-waste goals.,"Functions must include: Waste logging, Recyclable percentage calculation, Trend forecasting.",Monthly waste trends prediction.
10,Green Campus Resource Monitor,A logging and analytics system for campus electricity/water usage. Helps administrators monitor resource efficiency.,A logging and analytics system for campus electricity/water usage.,"Weekly efficiency reports, Usage graphs, Alerts for unusual spikes."
